# 3 candidate PRDM9 proteins
"ID","Num_ZF","ZFDa","ZFDg","Num_ZF_28","Num_ZF_29","Max_Tandem_Length"
"XP_030858898.2 LOW QUALITY PROTEIN: histone-lysine N-methyltransferase PRDM7 [Gorilla gorilla gorilla]",0,NA,NA,0,0,NA
"XP_030859242.3 histone-lysine N-methyltransferase PRDM9 isoform X2 [Gorilla gorilla gorilla]",8,0.586206896551724,0.319587628865979,7,1,7
"XP_055223462.2 histone-lysine N-methyltransferase PRDM9 isoform X1 [Gorilla gorilla gorilla]",8,0.586206896551724,0.319587628865979,7,1,7

# 18 candidate PRDM9 proteins
"ID","Num_ZF","ZFDa","ZFDg","Num_ZF_28","Num_ZF_29","Max_Tandem_Length"
"XP_034795469.2 histone-lysine N-methyltransferase PRDM7 [Pan paniscus]",0,NA,NA,0,0,NA
"XP_054948214.1 histone-lysine N-methyltransferase PRDM7-like [Pan paniscus]",0,NA,NA,0,0,NA
"XP_054949546.1 histone-lysine N-methyltransferase PRDM7-like [Pan paniscus]",0,NA,NA,0,0,NA
"XP_054956172.1 histone-lysine N-methyltransferase PRDM7-like [Pan paniscus]",0,NA,NA,0,0,NA
"XP_054962570.1 LOW QUALITY PROTEIN: histone-lysine N-methyltransferase PRDM7 isoform X1 [Pan paniscus]",0,NA,NA,0,0,NA
"XP_054966863.2 histone-lysine N-methyltransferase PRDM7-like [Pan paniscus]",0,NA,NA,0,0,NA
"XP_054968459.1 histone-lysine N-methyltransferase PRDM9 isoform X1 [Pan paniscus]",7,0.711111111111111,0.343558282208589,6,1,6
"XP_054968460.1 histone-lysine N-methyltransferase PRDM9 isoform X2 [Pan paniscus]",7,0.711111111111111,0.343558282208589,6,1,6
"XP_054968461.1 histone-lysine N-methyltransferase PRDM9 isoform X3 [Pan paniscus]",7,0.711111111111111,0.343558282208589,6,1,6
"XP_054968462.1 histone-lysine N-methyltransferase PRDM9 isoform X3 [Pan paniscus]",7,0.711111111111111,0.343558282208589,6,1,6
